CFNetwork Version number;OS Version;Darwin Version; Release Date
CFNetwork/760.6.3;Mac OSX 10.11.6 El Capitan;Darwin/15.6.0;18. Jul. 2016
CFNetwork/760.5.1;Mac OSX 10.11.5 El Capitan;Darwin/15.5.0;16. May 2016
CFNetwork/760.5;Mac OSX 10.11.4 El Capitan beta;Darwin/15.5.0;06. Apr. 2016
CFNetwork/760.4.2;Mac OSX 10.11.4 El Capitan;Darwin/15.4.0;21. Mar. 2016
CFNetwork/760.2.6;Mac OSX 10.11.3 El Capitan;Darwin/15.3.0;19. Jan. 2016
CFNetwork/760.2.6;Mac OSX 10.11.2 El Capitan;Darwin/15.2.0;08. Dec. 2015
CFNetwork/760.1.2;Mac OSX 10.11.1 El Capitan;Darwin/15.0.0;21. Oct. 2015
CFNetwork/760.0.5;Mac OSX 10.11.0 El Capitan;Darwin/15.0.0;30. Sep. 2015
CFNetwork/720.5.7;Mac OSX 10.10.5 Yosemite;Darwin/14.5.0;13. Aug 2015
CFNetwork/720.4.4;Mac OSX 10.10.4 Yosemite;Darwin/14.4.0;30. Jun 2015
CFNetwork/720.3.13;Mac OSX 10.10.3 Yosemite;Darwin/14.3.0;08. Apr 2015
CFNetwork/720.2.4;Mac OSX 10.10.2 Yosemite;Darwin/14.1.0;27. Jan 2015
CFNetwork/720.1.1;Mac OSX 10.10.1 Yosemite ;Darwin/14.0.0;17. Nov 2014
CFNetwork/720.0.9;Mac OSX 10.10.0 Yosemite ;Darwin/14.0.0;16. Oct 2014
CFNetwork/673.4;Mac OSX 10.9.5;Darwin/13.4.0;18. Sep 2014
CFNetwork/673.4;Mac OSX 10.9.4;Darwin/13.3.0;30. Jun 2014
CFNetwork/673.4;Mac OSX 10.9.3;Darwin/13.2.0;15. May 2014
CFNetwork/673.3;Mac OSX 10.9.3 beta;Darwin/13.2.0; 
CFNetwork/673.2.1;Mac OSX 10.9.2;Darwin/13.1.0;25. Feb 2014
CFNetwork/673.0.3;Mac OSX 10.9.1;Darwin/13.0.2;16. Dec 2013
CFNetwork/673.0.3;Mac OSX 10.9.0;Darwin/13.0.0;22. Oct 2013
CFNetwork/596.5;Mac OS X 10.8.5;Darwin/12.5.0;03. Oct 2013
CFNetwork/596.4.3;Mac OS X 10.8.4;Darwin/12.4.0;04. Jun 2013
CFNetwork/596.3.3;Mac OS X 10.8.3;Darwin/12.3.0;14. Mar 2013
CFNetwork/596.2.3;Mac OS X 10.8.2;Darwin/12.2.0;19. Sep 2012
CFNetwork/596.1;Mac OS X 10.8.1;Darwin/12.1.0;23. Aug 2012
CFNetwork/520.5.1;Mac OS X 10.7.5;Darwin/11.4.2;04. Oct 2012
CFNetwork/520.4.3;Mac OS X 10.7.4;Darwin/11.4.0;09. May 2012
CFNetwork/520.3.2;Mac OS X 10.7.3;Darwin/11.3.0;01. Feb 2012
CFNetwork/520.2.5;Mac OS X 10.7.2;Darwin/11.2.0;12. Oct 2011
CFNetwork/520.0.13;Mac OS X 10.7.1;Darwin/11.1.0;16. Aug 2011
CFNetwork/454.12.4;Mac OS X 10.6.8;Darwin/10.8.0;23. Jun 2011
CFNetwork/454.11.12;Mac OS X 10.6.7;Darwin/10.7.0;06. Jan 2011
CFNetwork/454.11.5;Mac OS X 10.6.6;Darwin/10.6.0;10. Nov 2010
CFNetwork/454.11.5;Mac OS X 10.6.5;Darwin/10.5.0;15. Jun 2010
CFNetwork/454.9.7;Mac OS X 10.6.4;Darwin/10.4.0;12. Apr 2010
CFNetwork/454.9.4;Mac OS X 10.6.3;Darwin/10.3.0;29. Mar 2010
CFNetwork/454.5;Mac OS X 10.6.2;Darwin/10.2.0;09. Nov 2009
CFNetwork/454.4;Mac OS X 10.6.0;Darwin/10.0.0;28. Aug 2009
CFNetwork/438.14;Mac OS X 10.5.8;Darwin/9.8.0;05. Aug 2009
CFNetwork/438.12;Mac OS X 10.5.7;Darwin/9.7.0;11. Feb 2009
CFNetwork/422.11;Mac OS X 10.5.6;Darwin/9.6.0;16. Dec 2008
CFNetwork/339.5;Mac OS X 10.5.5;Darwin/9.5.0;15. Sep 2008
CFNetwork/330.4;Mac OS X 10.5.4;Darwin/9.4.0;30. Jun 2008
CFNetwork/330;Mac OS X 10.5.3;Darwin/9.3.0;28. May 2008
CFNetwork/221.5;Mac OS X 10.5.2;Darwin/9.2.0;11. Feb 2008
CFNetwork/220;Mac OS X 10.5.1;Darwin/9.1.0;15. Nov 2007
CFNetwork/217;Mac OS X 10.5.0;Darwin/9.0.0;26. Oct 2007
CFNetwork/129.22;Mac OS X 10.4.11;Darwin/8.11.0;14. Nov 2007
CFNetwork/129.21;Mac OS X 10.4.10;Darwin/8.10.0;20. Jun 2007
CFNetwork/129.20;Mac OS X 10.4.9;Darwin/8.9.0;13. Mar 2007
CFNetwork/129.18;Mac OS X 10.4.8;Darwin/8.8.0;29. Sep 2006
CFNetwork/129.16;Mac OS X 10.4.7;Darwin/8.7.0;27. Jun 2006
CFNetwork/129.13;Mac OS X 10.4.6;Darwin/8.6.0;03. Apr 2006
CFNetwork/129.9;Mac OS X 10.4.5 (PPC);Darwin/8.5.0;14. Feb 2006
CFNetwork/129.10;Mac OS X 10.4.5 (Intel);Darwin/8.5.0;14. Feb 2006
